D_box,flux_sensitivity,avg_ipr_mid,avg_xi_mid,rho_zero,avg_horizon_weight_mid,avg_xbar_mid,charge_stiffness,half_bandwidth,scenario,x0,L,r_h,Nx,Nphi,ax,Nalpha,nu
1.950109184981828,0.022232761485578848,0.5173288929361746,0.21965356188090335,0.968584514087814,0.570889804887645,1.2775023974692774,0.006707650508908625,2.46782032793762,full_exterior,0.0,16.0,2.0,48,48,0.1,141,0.0
1.9573640653445676,0.024130441375857615,0.5439351345040434,0.19383598670099797,1.1211541604791184,0.5648087433502231,1.3332452526965923,0.008685808737784354,2.0360075094549273,full_exterior,0.0,18.0,2.0,48,48,0.1,141,0.0
1.9635162810545461,0.025627483362505928,0.5666118796942763,0.17279370350925233,1.2826946236807266,0.5607983418365812,1.3822907675337839,0.01087259914939497,1.7189290969226976,full_exterior,0.0,20.0,2.0,48,48,0.1,141,0.0
1.8971606034226223,0.008923319783064583,0.19077791475999603,0.8408949321597498,0.31452572440220505,0.7169731895466295,0.8308790340480054,0.00028630580484029303,8.603018940737657,full_exterior,0.0,8.0,3.0,48,48,0.1,141,0.0
1.900360686748724,0.01134759814451663,0.20732428556969645,0.767999718553137,0.4895470552219826,0.7030205921246383,0.8582075898967345,0.0006024433870779642,5.759694435669818,full_exterior,0.0,10.0,3.0,48,48,0.1,141,0.0
1.9164166771324913,0.013867609610437232,0.22860065811333674,0.6754463711271798,0.6943620554821835,0.6775633238732927,0.9076543559177591,0.001039396966257022,4.176027359220736,full_exterior,0.0,12.0,3.0,48,48,0.1,141,0.0
1.9237264440607895,0.016365607343757332,0.2625912956371326,0.558575358127772,0.9210773256235065,0.6479042397639625,0.9642257410901498,0.0015928859800644578,3.1975952339455764,full_exterior,0.0,14.0,3.0,48,48,0.1,141,0.0
1.9385911792008048,0.018715876597663873,0.3052690645715349,0.4397331661286282,1.158339223006311,0.6264390706259793,1.0198056994260782,0.0022579381558227767,2.5473108909713864,full_exterior,0.0,16.0,3.0,48,48,0.1,141,0.0
1.9480827272723447,0.0208318507885439,0.3439507609791857,0.3594770865896883,1.3929565135023096,0.6092626585929866,1.0851990071764266,0.0030293421722231537,2.0910391158013333,full_exterior,0.0,18.0,3.0,48,48,0.1,141,0.0
1.9540814210231623,0.022677699043611332,0.38139982180257664,0.3017322792389843,1.619748145940355,0.6018265306223981,1.1342003921272352,0.003901819558969363,1.7572097253360637,full_exterior,0.0,20.0,3.0,48,48,0.1,141,0.0
1.8795762535721223,0.00680427002673445,0.16667904320450969,0.9753513974554968,0.2615760902105251,0.7170077559875376,0.8430129020688919,5.804849008980411e-05,9.242538439243944,full_exterior,0.0,8.0,4.0,48,48,0.1,141,0.0
1.8887103520387407,0.008582590898841228,0.17094116695524306,0.9485453389173777,0.40090604865866125,0.7099599371693325,0.8585309733203488,0.0001549119241465924,6.142815975508096,full_exterior,0.0,10.0,4.0,48,48,0.1,141,0.0
1.8872239176785839,0.010495691957566944,0.176209247587536,0.9181908711178244,0.5739604753662132,0.7035003020276203,0.872723291643182,0.000309445272886993,4.423919338201118,full_exterior,0.0,12.0,4.0,48,48,0.1,141,0.0
1.9131180516346349,0.012497850527958213,0.18288167222616994,0.8818226577737813,0.7813344907662851,0.696566397480014,0.8870624027967985,0.0005228389459486822,3.3663814008485957,full_exterior,0.0,14.0,4.0,48,48,0.1,141,0.0
1.9204934210113709,0.014538290849415983,0.19020104964513465,0.8393733247282061,1.0224027713292083,0.6864538855343708,0.909090439024054,0.0007941255215102508,2.666330634298971,full_exterior,0.0,16.0,4.0,48,48,0.1,141,0.0
1.9193746763537394,0.016544541533541828,0.198469295840086,0.7916303239307333,1.293601265846238,0.673815009943312,0.9339048979061636,0.0011215822050645796,2.177018473761016,full_exterior,0.0,18.0,4.0,48,48,0.1,141,0.0
1.9372459175649026,0.01845772344163776,0.20885192760301474,0.7347377806929667,1.5871248400720344,0.6581706054490445,0.9641314912248866,0.0015032516884429439,1.8203268082389266,full_exterior,0.0,20.0,4.0,48,48,0.1,141,0.0
